lat,lon,fecha_inicio,causa,label,superficie_ha,region,comuna
-37.32472222,-73.3425,2023-09-30,4.1 - Faenas forestales | 4.1.1. Quema no avisada de desechos forestales que se propaga libre y sin control,0,2.5,Biobío,Arauco
-37.32361111,-73.40083333,2023-09-30,4.1 - Faenas forestales | 4.1.1. Quema no avisada de desechos forestales que se propaga libre y sin control,0,0.3,Biobío,Arauco
-37.57388889,-72.87805556,2023-10-10,4.3 - Actividades al aire libre (camping  excursiones  caza  pesca  otros) | 4.3.1. Empleo de fuentes de calor en áreas no habilitadas  como fogatas para cocinar  cocinillas  calefacción  elementos para iluminar u otros.,0,0.85,Biobío,Nacimiento
-37.41055556,-72.95694444,2023-10-10,2.1 - Incendios Intencionales | 2.1.2. Conflicto entre personas (venganza  familiares  pasionales  otros),1,1.1,Biobío,Nacimiento
-37.49527778,-72.81916667,2023-10-11,4.1 - Faenas forestales | 4.1.1. Quema no avisada de desechos forestales que se propaga libre y sin control,0,0.3,Biobío,Nacimiento
-37.78333333,-72.19472222,2023-10-12,4.8 - Otras quemas | 4.8.1. Quema no avisada con fines de limpieza en canales  cunetas  cercos o caminos (en predios particulares o públicos) que se propaga libre y sin control,0,0.3,Biobío,Mulchén
-37.68861111,-73.44111111,2023-10-13,2.1 - Incendios Intencionales | 2.1.1. No se identifica la motivación,1,5.6,Biobío,Los Alamos
-36.53166667,-72.96666667,2023-10-16,4.3 - Actividades al aire libre (camping  excursiones  caza  pesca  otros) | 4.3.1. Empleo de fuentes de calor en áreas no habilitadas  como fogatas para cocinar  cocinillas  calefacción  elementos para iluminar u otros.,0,0.22,Biobío,Tomé
-37.13055556,-72.52444444,2023-10-17,4.1 - Faenas forestales | 4.1.1. Quema no avisada de desechos forestales que se propaga libre y sin control,0,0.5,Biobío,Yumbel
-37.21472222,-73.25166667,2023-10-18,1.3 - Actividades al aire libre (camping  excursiones  caza  pesca  otros) | 1.3.1. Empleo de fuentes de calor en áreas habilitadas  como fogatas  cocinillas u otro elemento para cocinar  calefacción  iluminación u otros fines,0,0.005,Biobío,Arauco
-36.56944444,-72.94805556,2023-10-18,4.1 - Faenas forestales | 4.1.1. Quema no avisada de desechos forestales que se propaga libre y sin control,0,0.01,Biobío,Tomé
-37.35111111,-73.64527778,2023-10-18,4.8 - Otras quemas | 4.8.2. Quema de basura residencial o desechos vegetales,0,0.01,Biobío,Arauco
-36.71277778,-72.96861111,2023-10-19,4.8 - Otras quemas | 4.8.2. Quema de basura residencial o desechos vegetales,0,0.02,Biobío,Penco
-36.62833333,-72.94972222,2023-10-20,1.3 - Actividades al aire libre (camping  excursiones  caza  pesca  otros) | 1.3.1. Empleo de fuentes de calor en áreas habilitadas  como fogatas  cocinillas u otro elemento para cocinar  calefacción  iluminación u otros fines,0,0.15,Biobío,Tomé
-36.93333333,-72.93527778,2023-10-21,1.10 - Otras causas,0,0.75,Biobío,Hualqui
-36.74805556,-73.00305556,2023-10-22,2.1 - Incendios Intencionales | 2.1.5. Obtención beneficios económicos (compra de madera  presión por trabajo  robo  maderero  otros),1,0.02,Biobío,Penco
-37.33583333,-72.4375,2023-10-22,4.1 - Faenas forestales | 4.1.5. Rebrote de quema forestal no avisada que  se propaga libre y sin control,0,0.09,Biobío,Laja
-37.64888889,-73.39416667,2023-10-22,4.1 - Faenas forestales | 4.1.1. Quema no avisada de desechos forestales que se propaga libre y sin control,0,0.01,Biobío,Los Alamos
-37.01861111,-73.14805556,2023-10-23,2.1 - Incendios Intencionales | 2.1.1. No se identifica la motivación,1,0.35,Biobío,Coronel
-37.60611111,-73.5025,2023-10-24,4.1 - Faenas forestales | 4.1.1. Quema no avisada de desechos forestales que se propaga libre y sin control,0,0.56,Biobío,Los Alamos
-37.46166667,-72.73888889,2023-10-24,4.1 - Faenas forestales | 4.1.1. Quema no avisada de desechos forestales que se propaga libre y sin control,0,2.0,Biobío,Nacimiento
-37.01972222,-73.14777778,2023-10-24,2.1 - Incendios Intencionales | 2.1.1. No se identifica la motivación,1,0.8,Biobío,Coronel
-37.08055556,-72.445,2023-10-26,4.8 - Otras quemas | 4.8.1. Quema no avisada con fines de limpieza en canales  cunetas  cercos o caminos (en predios particulares o públicos) que se propaga libre y sin control,0,0.12,Biobío,Cabrero
-37.68833333,-71.27166667,2023-10-26,2.1 - Incendios Intencionales,1,2.0,Biobío,Alto Biobío
-37.06138889,-72.42888889,2023-10-26,4.1 - Faenas forestales | 4.1.1. Quema no avisada de desechos forestales que se propaga libre y sin control,0,0.9,Biobío,Cabrero
-37.22,-72.535,2023-10-26,4.2 - Faenas agrícolas y pecuarias | 4.2.1. Quema no avisada de desechos agrícolas que se propaga libre y sin control,0,0.1,Biobío,Negrete
-37.70416667,-73.54166667,2023-10-27,5.1 - Incendios de causa indeterminada,0,0.09,Biobío,Lebu
-37.73055556,-73.37944444,2023-11-03,4.1 - Faenas forestales | 4.1.6. Quema avisada de desechos forestales mal ejecutada que se propaga libre y sin control (plan de quemas  aviso de quemas),0,0.22,Biobío,Cañete
-37.45666667,-72.38638889,2023-11-04,2.1 - Incendios Intencionales | 2.1.5. Obtención beneficios económicos (compra de madera  presión por trabajo  robo  maderero  otros),1,0.01,Biobío,Los Angeles
-36.63472222,-72.80027778,2023-11-05,4.8 - Otras quemas | 4.8.2. Quema de basura residencial o desechos vegetales,0,0.01,Biobío,Tomé
-37.57972222,-72.28444444,2023-11-06,4.5 - Actividades de control y extinción de incendios forestales | 4.5.1. Rebrote de incendio anterior  declarado extinto,0,0.02,Biobío,Los Angeles
-37.45666667,-72.38638889,2023-11-06,2.1 - Incendios Intencionales | 2.1.3. Ataque incendiario (ataques dirigidos a bienes muebles o inmuebles),1,0.04,Biobío,Los Angeles
-37.55472222,-72.30861111,2023-11-13,2.1 - Incendios Intencionales,1,0.06,Biobío,Los Angeles
