lat,lon,fecha_inicio,label,region,causa,superficie_ha,mask_type,polygon_id,temporada,split
-37.51906355704424,-73.3456073673997,2020-11-25,1.0,Biobio,Incendios intencionales 2.1.1. Piromano (insano mental que disfruta del fuego),4.18,synthetic_dnbr,,2020-2021,train
-36.64333194120247,-72.9082213053961,2021-01-07,1.0,Biobio,Incendios intencionales 2.1.1. Piromano (insano mental que disfruta del fuego),0.1,synthetic_dnbr,,2020-2021,train
-37.81689778647891,-73.32139512058535,2020-12-01,1.0,Biobio,Incendios intencionales 2.1.1. Piromano (insano mental que disfruta del fuego),6.14,synthetic_dnbr,,2020-2021,train
-36.7372264276073,-72.8166712441604,2021-01-04,1.0,Biobio,Incendios intencionales 2.1.1. Piromano (insano mental que disfruta del fuego),0.28,synthetic_dnbr,,2020-2021,train
-37.3263865298627,-66.64610936850066,2023-02-16,1.0,Biobio,Incendios intencionales 2.1.1. Pirómano (insano mental que disfruta del fuego),8.4,synthetic_dnbr,,2022-2023,train
-37.373607966064654,-72.6338838624135,2022-01-07,1.0,Biobio,Incendios intencionales 2.1.1. Pirómano (insano mental que disfruta del fuego),6.64,synthetic_dnbr,,2021-2022,train
-37.48944789730177,-66.6913941945264,2022-12-03,1.0,Biobio,Incendios intencionales 2.1.1. Pirómano (insano mental que disfruta del fuego),0.5,synthetic_dnbr,,2022-2023,train
-37.73102659761424,-67.47855739053117,2022-12-21,1.0,Biobio,Incendios intencionales 2.1.1. Pirómano (insano mental que disfruta del fuego),0.5,synthetic_dnbr,,2022-2023,train
-37.66749985019284,-72.58830356428628,2022-02-09,1.0,Biobio,Incendios intencionales 2.1.1. Pirómano (insano mental que disfruta del fuego),4.05,synthetic_dnbr,,2021-2022,train
-37.47388588089744,-66.38416963687536,2023-01-27,1.0,Biobio,Incendios intencionales 2.1.1. Pirómano (insano mental que disfruta del fuego),0.1,synthetic_dnbr,,2022-2023,val
-36.945702103752296,-73.00568999408617,2021-01-02,1.0,Biobio,Incendios intencionales 2.1.10. Provocado para observar operaciones de combate de incendios forestales,0.2,synthetic_dnbr,,2020-2021,train
-37.60894559332747,-73.45938731176892,2021-01-06,1.0,Biobio,Incendios intencionales 2.1.10. Provocado para observar operaciones de combate de incendios forestales,0.661,synthetic_dnbr,,2020-2021,val
