id,lon,lat,label,observed_at,window_before_days,window_after_days,confidence,precision,source_url
hydro-background-0001,-68.69581909,-23.74580465,background_river_candidate,,90,90,,hydrography_vertex,https://geoportal.cl/geoserver/Hidrografia/wfs
hydro-background-0002,-69.19571176,-25.17707134,background_river_candidate,,90,90,,hydrography_vertex,https://geoportal.cl/geoserver/Hidrografia/wfs
hydro-background-0003,-69.89999165,-23.29502297,background_river_candidate,,90,90,,hydrography_vertex,https://geoportal.cl/geoserver/Hidrografia/wfs
hydro-background-0004,-68.90263524,-24.03177126,background_river_candidate,,90,90,,hydrography_vertex,https://geoportal.cl/geoserver/Hidrografia/wfs
hydro-background-0005,-69.69830978,-22.92396324,background_river_candidate,,90,90,,hydrography_vertex,https://geoportal.cl/geoserver/Hidrografia/wfs
hydro-background-0006,-68.7111848,-23.48958064,background_river_candidate,,90,90,,hydrography_vertex,https://geoportal.cl/geoserver/Hidrografia/wfs
hydro-background-0007,-67.63983257,-23.83052039,background_river_candidate,,90,90,,hydrography_vertex,https://geoportal.cl/geoserver/Hidrografia/wfs
hydro-background-0008,-67.70591928,-23.37450241,background_river_candidate,,90,90,,hydrography_vertex,https://geoportal.cl/geoserver/Hidrografia/wfs
hydro-background-0009,-67.98923481,-24.20866846,background_river_candidate,,90,90,,hydrography_vertex,https://geoportal.cl/geoserver/Hidrografia/wfs
hydro-background-0010,-67.47135454,-23.87555444,background_river_candidate,,90,90,,hydrography_vertex,https://geoportal.cl/geoserver/Hidrografia/wfs
hydro-background-0011,-69.06331813,-22.88830048,background_river_candidate,,90,90,,hydrography_vertex,https://geoportal.cl/geoserver/Hidrografia/wfs
hydro-background-0012,-68.75879981,-23.62116961,background_river_candidate,,90,90,,hydrography_vertex,https://geoportal.cl/geoserver/Hidrografia/wfs
hydro-background-0013,-69.12727998,-23.62811772,background_river_candidate,,90,90,,hydrography_vertex,https://geoportal.cl/geoserver/Hidrografia/wfs
hydro-background-0014,-69.1612803,-25.23103566,background_river_candidate,,90,90,,hydrography_vertex,https://geoportal.cl/geoserver/Hidrografia/wfs
hydro-background-0015,-69.20624794,-23.06285156,background_river_candidate,,90,90,,hydrography_vertex,https://geoportal.cl/geoserver/Hidrografia/wfs
hydro-background-0016,-69.21977085,-23.11092189,background_river_candidate,,90,90,,hydrography_vertex,https://geoportal.cl/geoserver/Hidrografia/wfs
hydro-background-0017,-69.10173122,-23.64969199,background_river_candidate,,90,90,,hydrography_vertex,https://geoportal.cl/geoserver/Hidrografia/wfs
hydro-background-0018,-68.58596081,-24.75905537,background_river_candidate,,90,90,,hydrography_vertex,https://geoportal.cl/geoserver/Hidrografia/wfs
hydro-background-0019,-69.16507128,-24.51144189,background_river_candidate,,90,90,,hydrography_vertex,https://geoportal.cl/geoserver/Hidrografia/wfs
hydro-background-0020,-69.82039624,-23.21107483,background_river_candidate,,90,90,,hydrography_vertex,https://geoportal.cl/geoserver/Hidrografia/wfs
