id,patch_path,label,label_confidence,scene_id,acquired_at,cloud_cover,source_asset,review_required
hydro-background-0001,data\imagery\river_background_patches\hydro-background-0001.png,background_river_candidate,0.55,S2A_19KEP_20250728_0_L2A,2025-07-28T14:49:50.780000Z,0.121947,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/K/EP/2025/7/S2A_19KEP_20250728_0_L2A/TCI.tif,yes
hydro-background-0002,data\imagery\river_background_patches\hydro-background-0002.png,background_river_candidate,0.55,S2C_19JDN_20260412_0_L2A,2026-04-12T14:49:48.245000Z,0.021065,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/J/DN/2026/4/S2C_19JDN_20260412_0_L2A/TCI.tif,yes
hydro-background-0003,data\imagery\river_background_patches\hydro-background-0003.png,background_river_candidate,0.55,S2B_19KCQ_20260311_0_L2A,2026-03-11T14:59:17.764000Z,0.056204,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/K/CQ/2026/3/S2B_19KCQ_20260311_0_L2A/TCI.tif,yes
hydro-background-0004,data\imagery\river_background_patches\hydro-background-0004.png,background_river_candidate,0.55,S2A_19KEP_20250728_0_L2A,2025-07-28T14:49:50.780000Z,0.121947,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/K/EP/2025/7/S2A_19KEP_20250728_0_L2A/TCI.tif,yes
hydro-background-0005,data\imagery\river_background_patches\hydro-background-0005.png,background_river_candidate,0.55,S2B_19KDQ_20260301_0_L2A,2026-03-01T14:59:15.057000Z,0.01314,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/K/DQ/2026/3/S2B_19KDQ_20260301_0_L2A/TCI.tif,yes
hydro-background-0006,data\imagery\river_background_patches\hydro-background-0006.png,background_river_candidate,0.55,S2A_19KEQ_20250728_0_L2A,2025-07-28T14:49:36.259000Z,0.103049,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/K/EQ/2025/7/S2A_19KEQ_20250728_0_L2A/TCI.tif,yes
hydro-background-0007,data\imagery\river_background_patches\hydro-background-0007.png,background_river_candidate,0.55,S2B_19KFP_20260417_0_L2A,2026-04-17T14:49:25.631000Z,0.026926,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/K/FP/2026/4/S2B_19KFP_20260417_0_L2A/TCI.tif,yes
hydro-background-0008,data\imagery\river_background_patches\hydro-background-0008.png,background_river_candidate,0.55,S2B_19KFQ_20250201_0_L2A,2025-02-01T14:49:16.606000Z,0.012932,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/K/FQ/2025/2/S2B_19KFQ_20250201_0_L2A/TCI.tif,yes
hydro-background-0009,data\imagery\river_background_patches\hydro-background-0009.png,background_river_candidate,0.55,S2B_19KFP_20260417_0_L2A,2026-04-17T14:49:25.631000Z,0.026926,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/K/FP/2026/4/S2B_19KFP_20260417_0_L2A/TCI.tif,yes
hydro-background-0010,data\imagery\river_background_patches\hydro-background-0010.png,background_river_candidate,0.55,S2B_19KFP_20260417_0_L2A,2026-04-17T14:49:25.631000Z,0.026926,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/K/FP/2026/4/S2B_19KFP_20260417_0_L2A/TCI.tif,yes
hydro-background-0011,data\imagery\river_background_patches\hydro-background-0011.png,background_river_candidate,0.55,S2A_19KDQ_20260226_0_L2A,2026-02-26T14:51:45.327000Z,0.121811,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/K/DQ/2026/2/S2A_19KDQ_20260226_0_L2A/TCI.tif,yes
hydro-background-0012,data\imagery\river_background_patches\hydro-background-0012.png,background_river_candidate,0.55,S2A_19KEP_20250728_0_L2A,2025-07-28T14:49:50.780000Z,0.121947,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/K/EP/2025/7/S2A_19KEP_20250728_0_L2A/TCI.tif,yes
hydro-background-0013,data\imagery\river_background_patches\hydro-background-0013.png,background_river_candidate,0.55,S2B_19KDP_20260417_0_L2A,2026-04-17T14:49:32.705000Z,0.036453,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/K/DP/2026/4/S2B_19KDP_20260417_0_L2A/TCI.tif,yes
hydro-background-0014,data\imagery\river_background_patches\hydro-background-0014.png,background_river_candidate,0.55,S2C_19JDN_20260412_0_L2A,2026-04-12T14:49:48.245000Z,0.021065,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/J/DN/2026/4/S2C_19JDN_20260412_0_L2A/TCI.tif,yes
hydro-background-0015,data\imagery\river_background_patches\hydro-background-0015.png,background_river_candidate,0.55,S2A_19KDQ_20260226_0_L2A,2026-02-26T14:51:45.327000Z,0.121811,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/K/DQ/2026/2/S2A_19KDQ_20260226_0_L2A/TCI.tif,yes
hydro-background-0016,data\imagery\river_background_patches\hydro-background-0016.png,background_river_candidate,0.55,S2A_19KDQ_20260226_0_L2A,2026-02-26T14:51:45.327000Z,0.121811,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/K/DQ/2026/2/S2A_19KDQ_20260226_0_L2A/TCI.tif,yes
hydro-background-0017,data\imagery\river_background_patches\hydro-background-0017.png,background_river_candidate,0.55,S2B_19KDP_20260417_0_L2A,2026-04-17T14:49:32.705000Z,0.036453,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/K/DP/2026/4/S2B_19KDP_20260417_0_L2A/TCI.tif,yes
hydro-background-0018,data\imagery\river_background_patches\hydro-background-0018.png,background_river_candidate,0.55,S2C_19JEN_20260412_0_L2A,2026-04-12T14:49:44.890000Z,0.535479,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/J/EN/2026/4/S2C_19JEN_20260412_0_L2A/TCI.tif,yes
hydro-background-0019,data\imagery\river_background_patches\hydro-background-0019.png,background_river_candidate,0.55,S2C_19JDN_20260412_0_L2A,2026-04-12T14:49:48.245000Z,0.021065,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/J/DN/2026/4/S2C_19JDN_20260412_0_L2A/TCI.tif,yes
hydro-background-0021,data\imagery\river_background_patches\hydro-background-0021.png,background_river_candidate,0.55,S2B_19KDP_20260417_0_L2A,2026-04-17T14:49:32.705000Z,0.036453,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/K/DP/2026/4/S2B_19KDP_20260417_0_L2A/TCI.tif,yes
hydro-background-0023,data\imagery\river_background_patches\hydro-background-0023.png,background_river_candidate,0.55,S2B_19KFP_20260417_0_L2A,2026-04-17T14:49:25.631000Z,0.026926,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/K/FP/2026/4/S2B_19KFP_20260417_0_L2A/TCI.tif,yes
hydro-background-0024,data\imagery\river_background_patches\hydro-background-0024.png,background_river_candidate,0.55,S2C_19JEN_20260412_0_L2A,2026-04-12T14:49:44.890000Z,0.535479,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/J/EN/2026/4/S2C_19JEN_20260412_0_L2A/TCI.tif,yes
hydro-background-0025,data\imagery\river_background_patches\hydro-background-0025.png,background_river_candidate,0.55,S2B_19KEQ_20260308_0_L2A,2026-03-08T14:49:12.656000Z,0.07071,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/K/EQ/2026/3/S2B_19KEQ_20260308_0_L2A/TCI.tif,yes
