file_index,filename,latitude,longitude,nombre_proyecto
0,0000.npy,-39.950417,-72.593974,VALDICOR
1,0001.npy,-33.545145,-70.829805,EXTRACCION DE ARIDOS RIO MAPOCHO SECTOR EL TREBAL - PADRE HURTADO
2,0002.npy,-34.213143,-70.716328,ARIDOS GUERRICO
3,0003.npy,-35.540491,-71.779663,ARIDOS DRY MIX
4,0004.npy,-36.806388,-73.102108,ARENERA RIO BIOBIO EL BOLDAL
5,0005.npy,-40.705557,-73.065275,AMPLIACION DE EXTRACCION DE ARIDOS EN EL RIO RAHUE SECTOR FUNDO EL ALMUD - SAN FLORENTINO
6,0006.npy,-33.649298,-71.583401,ARIDOS RIO MAIPO
7,0007.npy,-40.6215099,-72.4668907,ARIDOS MANTILHUE
8,0008.npy,-30.602805,-71.139157,EXTRACCION MECANIZADA DE ARIDOS DESDE LA CAJA FLUVIAL DEL RIO GRANDE SECTOR SOTAQUI
9,0009.npy,-32.93099403279455,-71.30578144969597,MINERA NO METÁLICAARIDOS ACONCAGUA LIMITADA
10,0010.npy,-32.93178,-71.34132,MINERA NO METÁLICAARIDOS ILUSTRE MUNICIPALIDAD DE LIMACHE
11,0011.npy,-35.3820116708088,-72.3099174569982,MINERA NO METÁLICAARIDOS RIO MAULE - SECTOR MELLICO Y PIEDRA DEL LOBO
12,0012.npy,-34.20234099,-70.7456501,"MINERA NO METÁLICAEXTRACCIÓN DE ÁRIDOS DEL RÍO CACHAPOAL, KM -1,5 AL -2,5, SECTOR GULTRO."
13,0013.npy,-36.88531,-73.040048,Extraccion de aridos Río Biobio Costanera Concepcion-Chiguayante
14,0014.npy,-33.752863,-70.83073966033261,EXPLOTACIÓN DE ARIDOS MINERA SANTA LAURA - BUIN (RÍO MAIPO KM 1650)
15,0015.npy,-33.7464562,-70.9,EXTRACCION MECANIZADA DE ARIDOS ISLA DE MAIPO
16,0016.npy,-36.6043695050706,-72.108242694165,PLANTA DE ASFALTO BITUMIX
17,0017.npy,-33.18573,-70.616419,EXTRACCION DE ARIDOS EN RIO COLINA - COLINA
18,0018.npy,-38.5824111761292,-72.43582675432128,ÁRIDOS INACAP LAUTARO
