id,patch_path,label,label_confidence,scene_id,acquired_at,cloud_cover,source_asset,review_required
sma-uf-20741,data\imagery\sma_river_aggregate_patches\sma-uf-20741.png,known_aggregate_site,0.8,S2B_19HCC_20260407_0_L2A,2026-04-07T14:52:17.785000Z,0.000378,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/H/CC/2026/4/S2B_19HCC_20260407_0_L2A/TCI.tif,yes
sma-uf-2081,data\imagery\sma_river_aggregate_patches\sma-uf-2081.png,known_aggregate_site,0.8,S2B_19HCC_20260407_0_L2A,2026-04-07T14:52:17.785000Z,0.000378,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/H/CC/2026/4/S2B_19HCC_20260407_0_L2A/TCI.tif,yes
sma-uf-21932,data\imagery\sma_river_aggregate_patches\sma-uf-21932.png,known_aggregate_site,0.8,S2C_18HXE_20250417_0_L2A,2025-04-17T14:53:31.908000Z,0.003268,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/18/H/XE/2025/4/S2C_18HXE_20250417_0_L2A/TCI.tif,yes
sma-uf-21958,data\imagery\sma_river_aggregate_patches\sma-uf-21958.png,known_aggregate_site,0.8,S2C_18HXE_20250417_0_L2A,2025-04-17T14:53:31.908000Z,0.003268,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/18/H/XE/2025/4/S2C_18HXE_20250417_0_L2A/TCI.tif,yes
sma-uf-22072,data\imagery\sma_river_aggregate_patches\sma-uf-22072.png,known_aggregate_site,0.8,S2C_19HBA_20251203_0_L2A,2025-12-03T14:52:59.100000Z,0.000368,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/H/BA/2025/12/S2C_19HBA_20251203_0_L2A/TCI.tif,yes
sma-uf-22419,data\imagery\sma_river_aggregate_patches\sma-uf-22419.png,known_aggregate_site,0.8,S2C_19HBV_20251203_0_L2A,2025-12-03T14:53:13.503000Z,4.3e-05,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/H/BV/2025/12/S2C_19HBV_20251203_0_L2A/TCI.tif,yes
sma-uf-2257,data\imagery\sma_river_aggregate_patches\sma-uf-2257.png,known_aggregate_site,0.8,S2B_19HCC_20260407_0_L2A,2026-04-07T14:52:17.785000Z,0.000378,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/H/CC/2026/4/S2B_19HCC_20260407_0_L2A/TCI.tif,yes
sma-uf-2259,data\imagery\sma_river_aggregate_patches\sma-uf-2259.png,known_aggregate_site,0.8,S2B_19HCC_20260407_0_L2A,2026-04-07T14:52:17.785000Z,0.000378,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/H/CC/2026/4/S2B_19HCC_20260407_0_L2A/TCI.tif,yes
sma-uf-2265,data\imagery\sma_river_aggregate_patches\sma-uf-2265.png,known_aggregate_site,0.8,S2B_19HCB_20250303_0_L2A,2025-03-03T14:52:36.681000Z,0.000158,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/H/CB/2025/3/S2B_19HCB_20250303_0_L2A/TCI.tif,yes
sma-uf-2272,data\imagery\sma_river_aggregate_patches\sma-uf-2272.png,known_aggregate_site,0.8,S2B_19HCC_20260407_0_L2A,2026-04-07T14:52:17.785000Z,0.000378,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/H/CC/2026/4/S2B_19HCC_20260407_0_L2A/TCI.tif,yes
sma-uf-23187,data\imagery\sma_river_aggregate_patches\sma-uf-23187.png,known_aggregate_site,0.8,S2B_18GXA_20260107_0_L2A,2026-01-07T14:54:06.555000Z,0.002535,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/18/G/XA/2026/1/S2B_18GXA_20260107_0_L2A/TCI.tif,yes
sma-uf-23188,data\imagery\sma_river_aggregate_patches\sma-uf-23188.png,known_aggregate_site,0.8,S2B_18GXA_20260107_0_L2A,2026-01-07T14:54:06.555000Z,0.002535,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/18/G/XA/2026/1/S2B_18GXA_20260107_0_L2A/TCI.tif,yes
sma-uf-23227,data\imagery\sma_river_aggregate_patches\sma-uf-23227.png,known_aggregate_site,0.8,S2B_18GXV_20250323_0_L2A,2025-03-23T14:54:19.992000Z,0.000224,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/18/G/XV/2025/3/S2B_18GXV_20250323_0_L2A/TCI.tif,yes
sma-uf-23558,data\imagery\sma_river_aggregate_patches\sma-uf-23558.png,known_aggregate_site,0.8,S2B_18GXR_20260404_0_L2A,2026-04-04T14:45:23.253000Z,0.000823,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/18/G/XR/2026/4/S2B_18GXR_20260404_0_L2A/TCI.tif,yes
