id,patch_path,label,label_confidence,scene_id,acquired_at,cloud_cover,source_asset,review_required
sma-uf-10003,data\imagery\sma_river_aggregate_patches\sma-uf-10003.png,known_aggregate_site,0.8,S2B_18GXA_20260107_0_L2A,2026-01-07T14:54:06.555000Z,0.002535,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/18/G/XA/2026/1/S2B_18GXA_20260107_0_L2A/TCI.tif,yes
sma-uf-10723,data\imagery\sma_river_aggregate_patches\sma-uf-10723.png,known_aggregate_site,0.8,S2B_19HCC_20260407_0_L2A,2026-04-07T14:52:17.785000Z,0.000378,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/H/CC/2026/4/S2B_19HCC_20260407_0_L2A/TCI.tif,yes
sma-uf-10793,data\imagery\sma_river_aggregate_patches\sma-uf-10793.png,known_aggregate_site,0.8,S2B_19HCC_20260407_0_L2A,2026-04-07T14:52:17.785000Z,0.000378,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/H/CC/2026/4/S2B_19HCC_20260407_0_L2A/TCI.tif,yes
sma-uf-10802,data\imagery\sma_river_aggregate_patches\sma-uf-10802.png,known_aggregate_site,0.8,S2C_19HBA_20251203_0_L2A,2025-12-03T14:52:59.100000Z,0.000368,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/H/BA/2025/12/S2C_19HBA_20251203_0_L2A/TCI.tif,yes
sma-uf-10837,data\imagery\sma_river_aggregate_patches\sma-uf-10837.png,known_aggregate_site,0.8,S2C_18HXE_20250417_0_L2A,2025-04-17T14:53:31.908000Z,0.003268,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/18/H/XE/2025/4/S2C_18HXE_20250417_0_L2A/TCI.tif,yes
sma-uf-10898,data\imagery\sma_river_aggregate_patches\sma-uf-10898.png,known_aggregate_site,0.8,S2B_18GXV_20250323_1_L2A,2025-03-23T14:54:26.838000Z,0.000541,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/18/G/XV/2025/3/S2B_18GXV_20250323_1_L2A/TCI.tif,yes
sma-uf-11171,data\imagery\sma_river_aggregate_patches\sma-uf-11171.png,known_aggregate_site,0.8,S2A_19HBC_20260226_2_L2A,2026-02-26T14:54:47.096000Z,0.006168,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/H/BC/2026/2/S2A_19HBC_20260226_2_L2A/TCI.tif,yes
sma-uf-11868,data\imagery\sma_river_aggregate_patches\sma-uf-11868.png,known_aggregate_site,0.8,S2C_19GBQ_20260109_0_L2A,2026-01-09T14:44:26.755000Z,0.000401,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/G/BQ/2026/1/S2C_19GBQ_20260109_0_L2A/TCI.tif,yes
sma-uf-1283,data\imagery\sma_river_aggregate_patches\sma-uf-1283.png,known_aggregate_site,0.8,S2C_19JBG_20250706_0_L2A,2025-07-06T14:51:46.793000Z,0.009859,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/J/BG/2025/7/S2C_19JBG_20250706_0_L2A/TCI.tif,yes
sma-uf-13503,data\imagery\sma_river_aggregate_patches\sma-uf-13503.png,known_aggregate_site,0.8,S2C_19HBD_20260502_0_L2A,2026-05-02T14:52:08.654000Z,0.003679,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/H/BD/2026/5/S2C_19HBD_20260502_0_L2A/TCI.tif,yes
