ID,NOMBRE_INSTALACION,REGION,COMUNA,ESTADO_INSTALACION,LATITUD,LONGITUD,DIST_RIO_M,DIST_ZONA_HAB_50P_KM2_M,RIO_1KM,RIO_5KM,HAB_1KM,HAB_5KM
0001-1N,PAMPA PABELLON,Tarapacá,Pica,ACTIVO,-20.9432343041405,-68.6040141830991,107.2,1263.3,1,1,0,1
0002-1N,DEPOSITO NORTE,Tarapacá,Pozo Almonte,ABANDONADO,-20.6091158572018,-69.6901635205178,2160.6,12509.9,0,1,0,0
0003-1N,RELAVE 1,Tarapacá,Pica,INACTIVO,-21.064578072119,-68.8780054368971,1582.6,9460.1,0,1,0,0
0004-1N,RELAVE 3,Tarapacá,Pica,ELIMINADO,-21.06454608686,-68.8778617597567,1593.0,9446.1,0,1,0,0
0005-1N,RELAVE 2,Tarapacá,Pica,ELIMINADO,-21.0645726797282,-68.8776186790103,1603.1,9427.7,0,1,0,0
0006-2N,PUNTA MORADO,Antofagasta,Taltal,INACTIVO,-25.3880207554353,-70.456289970482,816.7,1830.5,1,1,0,1
0007-2N,EMBALSE DE RELAVE,Antofagasta,Taltal,INACTIVO,-25.3891371440616,-70.454357453,756.0,1948.4,1,1,0,1
0008-2N,JOSE MORENO 1,Antofagasta,Taltal,INACTIVO,-25.3959272729261,-70.4756416526854,1185.2,359.6,0,1,1,1
0009-3N,TRANQUE DE RELAVE 3,Atacama,Copiapó,ACTIVO,-27.4025264242647,-70.2533675581345,696.7,304.5,1,1,1,1
0010-3N,RELAVES FILTRADOS,Atacama,Copiapó,EN CONSTRUCCION,-27.4048040323136,-70.2616112849746,118.1,212.7,1,1,1,1
0011-3N,TRANQUE DE RELAVE 3,Atacama,Vallenar,INACTIVO,-28.5649932542488,-70.7348373439102,12.4,446.2,1,1,1,1
0012-3N,TRANQUE DE RELAVE 1,Atacama,Copiapó,INACTIVO,-27.4087945395296,-70.2528341388443,749.3,522.3,1,1,1,1
0013-3N,TRANQUE DE RELAVE 2,Atacama,Copiapó,INACTIVO,-27.411220931169,-70.254272630916,613.6,218.9,1,1,1,1
0014-3N,EL SALADO,Atacama,Chañaral,INACTIVO,-26.4155607448902,-70.3335714031204,352.6,1306.7,1,1,0,1
0015-3N,TRANQUE 2,Atacama,Vallenar,INACTIVO,-28.5620393768674,-70.7426187045503,36.0,390.5,1,1,1,1
0016-3N,TRANQUE 1,Atacama,Vallenar,INACTIVO,-28.5634449900394,-70.7390375213979,123.4,64.9,1,1,1,1
0017-3N,DRE VALLENAR,Atacama,Vallenar,ACTIVO,-28.557408667801,-70.7430897736269,338.8,500.1,1,1,1,1
0018-4N,DELTA,Coquimbo,Ovalle,ACTIVO,-30.5086340978076,-71.2281215817986,536.7,1486.8,1,1,0,1
0019-4N,TRANQUE 1,Coquimbo,Ovalle,ABANDONADO,-30.5491466292603,-71.1756352784443,324.7,467.5,1,1,1,1
0020-4N,TRANQUE 2,Coquimbo,Ovalle,ABANDONADO,-30.5513500877944,-71.1776027377732,95.1,447.8,1,1,1,1
0021-4N,EMBALSE DE RELAVES,Coquimbo,Ovalle,INACTIVO,-30.5538763894439,-71.1789933839785,8.5,157.2,1,1,1,1
0022-1N,QB2,Tarapacá,Pica,ACTIVO,-21.0544468815943,-68.8477316149146,19.2,6357.2,1,1,0,0
0023-4N,HIPOGENO,Coquimbo,Andacollo,ACTIVO,-30.2713358511332,-71.1057546795926,2453.8,833.8,0,1,1,1
0024-2N,TRANQUE DE RELAVE,Antofagasta,Antofagasta,INACTIVO,-23.4427070363854,-70.0457447180925,611.0,414.9,1,1,1,1
0025-2N,MANTOS BLANCO,Antofagasta,Antofagasta,ACTIVO,-23.444445779165,-70.0562632338097,383.8,217.4,1,1,1,1
0026-2N,DEPOSITO RELAVES FINOS,Antofagasta,Antofagasta,ACTIVO,-23.4334328769137,-70.0920186516386,1453.6,541.0,0,1,1,1
0027-3N,MANTOVERDE,Atacama,Chañaral,EN CONSTRUCCION,-26.5630621960691,-70.3638079565349,1214.0,2495.1,0,1,0,1
0028-2N,DEPÓSITO TUINA,Antofagasta,Calama,ACTIVO,-22.5393639553742,-68.4353064453163,2545.7,30497.3,0,1,0,0
0029-2N,EMBALSE DE RELAVE,Antofagasta,Antofagasta,INACTIVO,-24.3406975474084,-69.068091470677,2214.0,508.4,0,1,1,1
0030-2N,LAGUNA SECA,Antofagasta,Antofagasta,ACTIVO,-24.4185679353818,-69.1206554235284,128.8,2658.8,1,1,0,1
0031-2N,HAMBURGO,Antofagasta,Antofagasta,INACTIVO,-24.2963387488379,-69.0501899792401,286.2,315.4,1,1,1,1
0032-2N,RELAVE FILTRADO,Antofagasta,Antofagasta,INACTIVO,-24.3582189792702,-69.0853152908185,644.2,531.9,1,1,1,1
0033-2N,TRANQUE 1,Antofagasta,Sierra Gorda,ABANDONADO,-22.808002852194,-69.3910634225071,3249.9,,0,1,0,0
0034-2N,TRANQUE 4,Antofagasta,Sierra Gorda,ABANDONADO,-22.8101188546339,-69.3955557327124,3263.3,,0,1,0,0
0035-2N,DEPOSITO 5,Antofagasta,Sierra Gorda,ACTIVO,-22.8109609908827,-69.3972747661922,3185.5,,0,1,0,0
0036-2N,TRANQUE 2,Antofagasta,Sierra Gorda,ABANDONADO,-22.8104386696904,-69.3919074588377,3069.0,,0,1,0,0
0037-2N,TRANQUE 3,Antofagasta,Sierra Gorda,ABANDONADO,-22.8082186996571,-69.3961868819076,3477.1,,0,1,0,0
