ProcesoSancionId;Expediente;ProcesoSancionTipoNombre;ProcesoSancionEstado;FechaInicio;FechaTermino;ConfirmaPdC;MultaTotalUTA;LinkSNIFA;UnidadFiscalizableId;Nombre;RegionNombre;ComunaNombre;Latitud;Longitud;CategoriaEconomicaNombre;SubCategoriaEconomicaNombre;LinkSNIFA_UF;FechaActualizacion
1;A-002-2013;Autodenuncia;En curso;27-03-2013;;No;7021.0;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1                             ;1078;BARRICK - PASCUA LAMA;Región de Atacama;Alto del Carmen;-29.282648;-70.063014;Minería;Minera metálica;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/1078                          ;20-05-26
2;F-002-2013;Fiscalización;Terminado - Sanción;01-04-2013;13-08-2013;No;94.0;https://snifa.sma.gob.cl/Sancionatorio/Ficha/2                             ;162;MALL PLAZA EGAÑA - LA REINA;Región Metropolitana;La Reina;-33.453;-70.57;Equipamiento;Centro comercial;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/162                           ;20-05-26
3;A-001-2013;Autodenuncia;Terminado - PDC Satisfactorio;08-02-2013;12-02-2014;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/3                             ;299;FAENA MINERA QUEBRADA BLANCA;Región de Tarapacá;Pica;-21.002;-68.7958;Minería;Minera metálica;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/299                           ;20-05-26
4;D-004-2013;Denuncia;Terminado - Sanción;02-05-2013;11-10-2013;No;25.0;https://snifa.sma.gob.cl/Sancionatorio/Ficha/4                             ;2488;VERTEDERO DICHAM;Región de los Lagos;Chonchi;-42.6271413736787;-73.8412979119647;Saneamiento Ambiental;Vertedero;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2488                          ;20-05-26
5;F-003-2013;Fiscalización;Terminado - PDC Satisfactorio;08-05-2013;01-08-2014;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/5                             ;10480;CES FRANCISCO NORTE (RNA 110522);Región de Aysén del General Carlos Ibáñez del Campo;Aysén;-44.506667371554066;-73.6101218;Pesca y Acuicultura;Centro de engorda de salmones;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/10480                         ;20-05-26
7;F-004-2013;Fiscalización;Terminado - PDC Satisfactorio;08-05-2013;10-01-2018;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/7                             ;2492;CES QUILLAIPE (RNA 103536);Región de los Lagos;Puerto Montt;-41.5896670888524;-72.7499270578846;Pesca y Acuicultura;Centro de engorda de salmones;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2492                          ;20-05-26
8;F-005-2013;Fiscalización;Terminado - PDC Satisfactorio;07-05-2013;01-08-2014;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/8                             ;2533;CES WAGNER II (RNA 120117);Región de Magallanes y la Antártica Chilena;Natales;-52.2306;-72.9317;Pesca y Acuicultura;Centro de engorda de salmones;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2533                          ;20-05-26
9;D-003-2013;Denuncia;Terminado - Sanción;13-03-2013;19-08-2013;No;12.0;https://snifa.sma.gob.cl/Sancionatorio/Ficha/9                             ;10211;ALIMENTOS RILA;Región de Arica y Parinacota;Arica;-18.3984;-70.2906;Agroindustrias;Planta procesadora de productos agrícolas;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/10211                         ;20-05-26
10;F-001-2013;Fiscalización;Terminado - PDC Satisfactorio;12-03-2013;27-08-2014;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/10                            ;2581;MINERA CHOQUELIMPIE;Región de Arica y Parinacota;Putre;-18.3086;-69.2545;Minería;Prospecciones y exploraciones;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2581                          ;20-05-26
11;F-006-2013;Fiscalización;Terminado - PDC Satisfactorio;22-05-2013;07-04-2015;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/11                            ;2312;AGROORGANICOS MOSTAZAL - CHIMBARONGO;Región del Libertador General Bernardo O'Higgins;Chimbarongo;-34.7023115113113;-70.9170109033585;Agroindustrias;Planta procesadora de productos agrícolas;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2312                          ;20-05-26
