chip_filename,lat,lon,salar,ssi_delta,gaia_prob,severidad
-23.4157_-68.0705.npy,-23.415742,-68.070466,salar_atacama,0.1536,0.0928,media
-23.4533_-68.0576.npy,-23.453343,-68.057586,salar_atacama,0.1597,0.1201,media
-23.4529_-68.0539.npy,-23.452932,-68.053889,salar_atacama,0.1451,0.1167,media
-23.3037_-68.0890.npy,-23.303733,-68.08898,salar_atacama,0.1919,0.1589,media
-23.2958_-68.0901.npy,-23.295791,-68.090075,salar_atacama,0.1753,0.1961,media
-23.2312_-68.1048.npy,-23.231196,-68.104827,salar_atacama,0.1509,0.1411,media
-23.2999_-68.0912.npy,-23.299922,-68.091186,salar_atacama,0.1844,0.1857,media
-23.2984_-68.0894.npy,-23.298444,-68.089369,salar_atacama,0.2063,0.194,alta
-23.2456_-68.1179.npy,-23.245619,-68.117868,salar_atacama,0.1703,0.1945,media
-23.2336_-68.1160.npy,-23.233569,-68.115964,salar_atacama,0.1655,0.1881,media
-23.2326_-68.1090.npy,-23.232611,-68.109026,salar_atacama,0.1555,0.1635,media
-23.2325_-68.1183.npy,-23.232474,-68.118337,salar_atacama,0.1482,0.201,media
-23.2462_-68.1208.npy,-23.246167,-68.120802,salar_atacama,0.1699,0.1775,media
-23.2361_-68.1228.npy,-23.236125,-68.122811,salar_atacama,0.1398,0.2173,media
-23.2336_-68.1194.npy,-23.233569,-68.119433,salar_atacama,0.1742,0.219,media
-23.2396_-68.1211.npy,-23.239594,-68.121076,salar_atacama,0.1563,0.2165,media
-23.2369_-68.1185.npy,-23.236856,-68.11852,salar_atacama,0.139,0.1872,media
-23.2421_-68.1261.npy,-23.242059,-68.126142,salar_atacama,0.1558,0.189,media
-23.2446_-68.1279.npy,-23.244633,-68.127868,salar_atacama,0.148,0.1766,media
-23.2334_-68.1273.npy,-23.233432,-68.127306,salar_atacama,0.1514,0.1889,media
-23.2396_-68.1284.npy,-23.23964,-68.128379,salar_atacama,0.1443,0.2271,media
-23.2436_-68.1304.npy,-23.243611,-68.130387,salar_atacama,0.1474,0.1977,media
-23.2680_-68.1306.npy,-23.267966,-68.130606,salar_atacama,0.1719,0.2428,media
-23.2671_-68.1333.npy,-23.267117,-68.133263,salar_atacama,0.1359,0.2254,media
-23.2350_-68.1325.npy,-23.235002,-68.132536,salar_atacama,0.1843,0.1988,media
-23.2698_-68.1337.npy,-23.269829,-68.133674,salar_atacama,0.1552,0.2075,media
-23.2364_-68.1386.npy,-23.23644,-68.138589,salar_atacama,0.1842,0.2291,media
-23.2433_-68.1385.npy,-23.243309,-68.138532,salar_atacama,0.1836,0.2481,media
-23.3191_-68.1367.npy,-23.319124,-68.136741,salar_atacama,0.1667,0.1619,media
-23.3142_-68.1391.npy,-23.314221,-68.139134,salar_atacama,0.1845,0.1853,media
-23.3632_-68.1563.npy,-23.363243,-68.156267,salar_atacama,0.2097,0.7626,alta
-23.4662_-68.3071.npy,-23.466169,-68.307058,salar_atacama,0.3095,0.1548,alta
-23.6298_-68.2924.npy,-23.629847,-68.292422,salar_atacama,0.2391,0.179,alta
-23.6256_-68.2945.npy,-23.625556,-68.294522,salar_atacama,0.177,0.2226,media
-23.6229_-68.3121.npy,-23.622863,-68.312094,salar_atacama,0.122,0.3724,media
-23.4650_-68.3092.npy,-23.464982,-68.309219,salar_atacama,0.1589,0.1614,media
-23.4769_-68.3138.npy,-23.476901,-68.313815,salar_atacama,0.3489,0.1711,alta
-23.4622_-68.3150.npy,-23.462243,-68.31497,salar_atacama,0.1463,0.1951,media
-23.4951_-68.3128.npy,-23.495107,-68.312779,salar_atacama,0.199,0.1115,media
-23.4795_-68.3169.npy,-23.479497,-68.316887,salar_atacama,0.2567,0.3279,alta
-23.4645_-68.3173.npy,-23.464526,-68.317252,salar_atacama,0.1794,0.301,media
-23.4674_-68.3172.npy,-23.467447,-68.317161,salar_atacama,0.1818,0.7671,alta
-23.5023_-68.3172.npy,-23.502319,-68.317161,salar_atacama,0.121,0.1203,media
-23.4778_-68.3179.npy,-23.477793,-68.317891,salar_atacama,0.1668,0.2987,media
-23.4800_-68.3245.npy,-23.479995,-68.32453,salar_atacama,0.2031,0.256,alta
-23.5018_-68.3212.npy,-23.501771,-68.321177,salar_atacama,0.2507,0.1484,alta
-23.4963_-68.3435.npy,-23.49632,-68.34353,salar_atacama,0.2037,0.1407,alta
-23.4987_-68.3269.npy,-23.498745,-68.326863,salar_atacama,0.1703,0.7214,alta
-23.6298_-68.3272.npy,-23.629755,-68.327202,salar_atacama,0.1557,0.4628,media
-23.1569_-68.3436.npy,-23.156888,-68.343634,salar_atacama,0.1428,0.1194,media
-23.4852_-68.3376.npy,-23.485157,-68.337609,salar_atacama,0.1069,0.6768,baja
-23.1550_-68.3450.npy,-23.155026,-68.344985,salar_atacama,0.1395,0.1196,media
-23.5459_-68.3498.npy,-23.545862,-68.34975,salar_atacama,0.2447,0.6577,alta
-23.4588_-68.3540.npy,-23.458775,-68.354041,salar_atacama,0.2198,0.5026,alta
-23.1600_-68.3537.npy,-23.159992,-68.353676,salar_atacama,0.1478,0.0958,media
-23.5524_-68.3544.npy,-23.552375,-68.354394,salar_atacama,0.287,0.5355,alta
-23.6246_-68.3550.npy,-23.624643,-68.354954,salar_atacama,0.1417,0.1244,media
-23.6212_-68.3551.npy,-23.621174,-68.355136,salar_atacama,0.205,0.3784,alta
-23.5239_-68.3555.npy,-23.523862,-68.355501,salar_atacama,0.2511,0.0987,alta
-23.4535_-68.3561.npy,-23.453455,-68.356099,salar_atacama,0.1745,0.1518,media
-23.5339_-68.3563.npy,-23.533858,-68.356323,salar_atacama,0.1895,0.1303,media
-23.4562_-68.3585.npy,-23.456219,-68.358514,salar_atacama,0.236,0.1564,alta
-23.4574_-68.3614.npy,-23.45735,-68.361362,salar_atacama,0.2061,0.1547,alta
-23.5162_-68.3657.npy,-23.516211,-68.365684,salar_atacama,0.2591,0.1608,alta
-23.2754_-68.3622.npy,-23.275415,-68.362184,salar_atacama,0.154,0.0753,media
-23.5247_-68.3670.npy,-23.524681,-68.367003,salar_atacama,0.4353,0.2387,alta
-23.5683_-68.3618.npy,-23.568327,-68.361825,salar_atacama,0.1648,0.1492,media
-23.5466_-68.3666.npy,-23.546557,-68.366575,salar_atacama,0.1989,0.5524,media
-23.4724_-68.3621.npy,-23.472376,-68.362074,salar_atacama,0.1668,0.4653,media
-23.5426_-68.3626.npy,-23.542622,-68.362553,salar_atacama,0.2482,0.7963,alta
-23.5300_-68.3670.npy,-23.530004,-68.366967,salar_atacama,0.2917,0.2454,alta
-23.4621_-68.3719.npy,-23.462091,-68.371883,salar_atacama,0.2302,0.1452,alta
-23.4567_-68.3641.npy,-23.456667,-68.364066,salar_atacama,0.2218,0.1546,alta
-23.5668_-68.3663.npy,-23.56681,-68.366262,salar_atacama,0.1665,0.3045,media
-23.4716_-68.3694.npy,-23.471628,-68.369413,salar_atacama,0.166,0.4727,media
-23.5688_-68.3674.npy,-23.568776,-68.367414,salar_atacama,0.1458,0.2903,media
-23.5706_-68.3707.npy,-23.570604,-68.370706,salar_atacama,0.2148,0.2553,alta
-23.1591_-68.3721.npy,-23.159121,-68.372102,salar_atacama,0.1549,0.0959,media
-23.2317_-68.3755.npy,-23.231744,-68.375493,salar_atacama,0.146,0.0642,media
-23.4863_-68.3719.npy,-23.486343,-68.371933,salar_atacama,0.1489,0.3056,media
-23.5581_-68.3770.npy,-23.558081,-68.377035,salar_atacama,0.185,0.2667,media
-23.5178_-68.3788.npy,-23.517837,-68.37878,salar_atacama,0.2025,0.0794,alta
-23.5588_-68.3821.npy,-23.558849,-68.382061,salar_atacama,0.2702,0.4343,alta
-23.5620_-68.3854.npy,-23.562034,-68.385373,salar_atacama,0.187,0.7283,alta
-23.5721_-68.3860.npy,-23.572062,-68.386017,salar_atacama,0.1846,0.1015,media
-23.5158_-68.3882.npy,-23.515829,-68.388182,salar_atacama,0.1867,0.1286,media
-23.5253_-68.3915.npy,-23.525323,-68.391468,salar_atacama,0.1574,0.8457,alta
-23.5186_-68.3939.npy,-23.518568,-68.393933,salar_atacama,0.1756,0.1979,media
-23.5544_-68.3935.npy,-23.554352,-68.393477,salar_atacama,0.2439,0.834,alta
-23.5543_-68.3958.npy,-23.554261,-68.395759,salar_atacama,0.2738,0.8635,alta
-23.5227_-68.3932.npy,-23.522657,-68.393185,salar_atacama,0.2527,0.8617,alta
